inkoop_id,inkoopnummer,leverancier_id,datum,vervaldatum,omschrijving,bedrag_excl_btw,btw_tarief,bedrag_btw,bedrag_incl_btw,status
42,INK2024-00042,20,2024-08-30,2024-10-14,Proberen borstelen groot ontdekken.,5126.16,0.09,461.35,5587.51,Achterstallig
43,INK2023-00043,10,2023-11-15,2023-12-30,Goud brief breken aarde binnen vandaag zeer schip.,1119.25,0.21,235.04,1354.29,Betaald
44,INK2024-00044,3,2024-05-05,2024-06-19,Vreemde oorzaak oorlog grootmoeder draad hond.,6729.37,0.21,1413.17,8142.54,Betaald
45,INK2024-00045,7,2024-05-03,2024-06-17,Vrij verder vast.,160.4,0.09,14.44,174.84,Achterstallig
46,INK2024-00046,15,2024-05-26,2024-07-10,Brandstof helder bang.,1621.76,0.09,145.96,1767.72,Achterstallig
47,INK2024-00047,2,2024-02-11,2024-03-27,Plaat moeilijk helft.,3266.46,0.21,685.96,3952.42,Achterstallig
48,INK2024-00048,12,2024-08-04,2024-09-03,Leren zo moord naam kosten.,5402.12,0.09,486.19,5888.31,Betaald
49,INK2025-00049,17,2025-05-11,2025-05-25,Haten bewegen noemen maan wijn paar genot kloppen.,7254.34,0.21,1523.41,8777.75,Betaald
50,INK2023-00050,20,2023-08-16,2023-09-30,Wolf wonder waarom hier grappig prijs.,644.38,0.21,135.32,779.7,Achterstallig
51,INK2024-00051,8,2024-08-13,2024-09-27,Zwaar zes effect delen.,7190.01,0.09,647.1,7837.11,Betaald
52,INK2023-00052,17,2023-05-11,2023-06-25,Olifant alsjeblieft boerderij eeuw.,4982.39,0.21,1046.3,6028.69,Achterstallig
53,INK2026-00053,2,2026-04-04,2026-04-18,Hobby daar borstelen kost vliegtuig te volgorde.,5171.78,0.09,465.46,5637.24,Betaald
54,INK2026-00054,16,2026-02-19,2026-04-05,Hal nog west zien sport.,6357.71,0.09,572.19,6929.9,Achterstallig
55,INK2023-00055,16,2023-11-21,2023-12-05,Voelen vlieg wassen kom.,1225.96,0.09,110.34,1336.3,Achterstallig
56,INK2024-00056,3,2024-09-06,2024-10-21,Markt bijten gemak test actief dag.,3546.52,0.09,319.19,3865.71,Achterstallig
57,INK2024-00057,9,2024-09-24,2024-10-24,Wiel zetten voelen dit niets.,1032.8,0.09,92.95,1125.75,Betaald
58,INK2024-00058,9,2024-05-27,2024-06-10,Tweede vals map anders tekenen plaat.,2747.35,0.21,576.94,3324.29,Betaald
59,INK2024-00059,16,2024-09-06,2024-09-20,Radio positie reiken oranje niet.,6468.66,0.21,1358.42,7827.08,Betaald
60,INK2025-00060,7,2025-10-19,2025-11-02,Slecht vrouw helft ziel schudden vos.,1284.6,0.09,115.61,1400.21,Betaald
61,INK2023-00061,3,2023-06-17,2023-07-01,Mengsel controle baby raam dubbel hallo scheiden.,4843.78,0.21,1017.19,5860.97,Betaald
62,INK2023-00062,15,2023-07-11,2023-07-25,Geluk fris auto.,2372.66,0.09,213.54,2586.2,Achterstallig
63,INK2026-00063,3,2026-03-29,2026-05-13,Verstand afspraak ring uitnodigen overvallen verzamelen.,6490.58,0.09,584.15,7074.73,Achterstallig
64,INK2023-00064,10,2023-02-27,2023-04-13,Groot maal zijn ik.,5992.2,0.09,539.3,6531.5,Achterstallig
65,INK2023-00065,2,2023-10-23,2023-11-22,Lenen hal benzine stoel.,416.22,0.21,87.41,503.63,Betaald
66,INK2025-00066,3,2025-02-10,2025-02-24,Oud falen druk zwembad lepel sorry student.,3419.19,0.21,718.03,4137.22,Betaald
67,INK2026-00067,18,2026-01-27,2026-02-26,Oorlog hoeveelheid één oefening bos.,6356.54,0.21,1334.87,7691.41,Achterstallig
68,INK2025-00068,15,2025-04-29,2025-05-13,Draaien weg ooit vroeg punt ziekenhuis plat.,5533.77,0.21,1162.09,6695.86,Betaald
69,INK2024-00069,1,2024-01-18,2024-03-03,Nu leeftijd algemeen vogel stem baby dus.,7658.98,0.09,689.31,8348.29,Achterstallig
70,INK2024-00070,18,2024-09-09,2024-09-23,Jong waarschijnlijk telefoon gedrag naar.,6158.73,0.21,1293.33,7452.06,Betaald
71,INK2023-00071,1,2023-06-30,2023-07-14,Kennen geit vast spel ruiken ouder rok raam.,7596.23,0.21,1595.21,9191.44,Betaald
72,INK2025-00072,6,2025-12-15,2026-01-29,Gereedschap slapen soep instrument vandaag zomer.,7585.79,0.21,1593.02,9178.81,Achterstallig
73,INK2024-00073,14,2024-03-09,2024-03-23,Mijn kip sorry.,3125.88,0.09,281.33,3407.21,Betaald
74,INK2026-00074,11,2026-02-15,2026-03-01,Want vriend ongeluk redden passeren tram kop.,6767.49,0.21,1421.17,8188.66,Achterstallig
75,INK2023-00075,14,2023-11-08,2023-12-23,Lucht modern simpel laat team geliefde.,4134.75,0.09,372.13,4506.88,Betaald
76,INK2023-00076,2,2023-02-20,2023-03-22,Vakantie vuur kaas.,2230.7,0.09,200.76,2431.46,Betaald
77,INK2025-00077,3,2025-11-02,2025-12-02,Tevreden gevolg groente kaas stop donker keus huis.,5163.55,0.21,1084.35,6247.9,Achterstallig
78,INK2025-00078,2,2025-08-30,2025-10-14,Eis verliezen eenzaam arm.,7336.18,0.21,1540.6,8876.78,Betaald
79,INK2024-00079,15,2024-08-02,2024-09-01,Per jij boete laag reeds jouw.,1724.95,0.09,155.25,1880.2,Achterstallig
80,INK2026-00080,13,2026-02-18,2026-04-04,Alsjeblieft kuil herinneren branden.,6584.1,0.21,1382.66,7966.76,Achterstallig
81,INK2024-00081,8,2024-04-04,2024-04-18,Zinken uur leerling kort jullie.,1364.96,0.21,286.64,1651.6,Betaald
82,INK2024-00082,3,2024-04-17,2024-06-01,Achter verspreiden start gespannen mevrouw miljoen wassen dansen.,1576.54,0.09,141.89,1718.43,Achterstallig
83,INK2023-00083,5,2023-05-03,2023-05-17,Gezicht laken sex verkopen titel.,3868.53,0.21,812.39,4680.92,Betaald
84,INK2024-00084,1,2024-05-03,2024-05-17,Vijand zak zulke elk zaak rots foto.,2575.38,0.09,231.78,2807.16,Betaald
85,INK2025-00085,12,2025-06-13,2025-06-27,Brief morgen licht volgende vis vangen rapport.,3774.15,0.09,339.67,4113.82,Achterstallig
86,INK2025-00086,13,2025-08-27,2025-09-10,Straat jongen verwachten rok steun verschil hoewel.,7156.35,0.09,644.07,7800.42,Betaald
87,INK2023-00087,11,2023-03-15,2023-04-14,Wreed bui vriendelijk licht.,811.09,0.09,73.0,884.09,Betaald
88,INK2024-00088,4,2024-07-26,2024-08-09,Wissen langs suiker minder vangen best.,6478.63,0.21,1360.51,7839.14,Betaald
89,INK2025-00089,11,2025-10-27,2025-12-11,Park woud gelijk zorg vraag.,1252.29,0.21,262.98,1515.27,Achterstallig
90,INK2025-00090,8,2025-07-15,2025-08-29,Model dom geluid vangen stap huren ziel.,2326.5,0.21,488.56,2815.06,Betaald
91,INK2024-00091,2,2024-02-06,2024-02-20,Ring altijd gehoorzamen weg boerderij.,498.82,0.09,44.89,543.71,Betaald
92,INK2024-00092,17,2024-11-25,2025-01-09,Gemakkelijk lachen noot.,6230.61,0.09,560.75,6791.36,Betaald
93,INK2024-00093,5,2024-12-17,2024-12-31,Sneeuw rook wanneer chocolade mis hem.,2778.35,0.21,583.45,3361.8,Betaald
94,INK2025-00094,19,2025-01-08,2025-02-22,Alles blauw bed muziek zien.,5325.41,0.21,1118.34,6443.75,Betaald
95,INK2024-00095,3,2024-05-30,2024-06-13,Langzaam nul net prinses.,3573.64,0.09,321.63,3895.27,Betaald
96,INK2023-00096,12,2023-12-27,2024-02-10,Effect taart grof park medicijn waarschijnlijk actief rennen.,6980.36,0.21,1465.88,8446.24,Achterstallig
97,INK2024-00097,2,2024-11-19,2024-12-19,Groep probleem rennen.,6217.11,0.21,1305.59,7522.7,Achterstallig
98,INK2023-00098,18,2023-11-17,2023-12-01,Film even hemel bot kunnen.,127.55,0.09,11.48,139.03,Betaald
99,INK2024-00099,12,2024-08-31,2024-09-30,Vijver uitvinden hand komen.,7631.38,0.09,686.82,8318.2,Betaald
100,INK2023-00100,3,2023-05-14,2023-05-28,Activiteit hallo en gehoorzamen.,6874.59,0.21,1443.66,8318.25,Betaald
101,INK2026-00101,4,2026-01-23,2026-02-06,Hun stof ontmoeten conditie sok taart.,5482.02,0.09,493.38,5975.4,Betaald
102,INK2023-00102,15,2023-12-09,2023-12-23,Sap cadeau geel zeep.,958.99,0.21,201.39,1160.38,Betaald
103,INK2026-00103,15,2026-04-22,2026-06-06,Stuk zus maand rechts met trekken.,7435.68,0.21,1561.49,8997.17,Openstaand
104,INK2025-00104,4,2025-06-29,2025-07-13,Slim u paar taal.,6422.5,0.21,1348.72,7771.22,Betaald
105,INK2023-00105,15,2023-03-05,2023-04-19,Ochtend sneeuw vrijheid veer mevrouw markt leuk kiezen.,5815.13,0.09,523.36,6338.49,Achterstallig
106,INK2024-00106,4,2024-05-09,2024-06-08,Fout meer rechts chocolade.,6667.31,0.21,1400.14,8067.45,Betaald
107,INK2025-00107,15,2025-01-23,2025-02-22,Park binnen ziekenhuis gebeurtenis lucht.,1811.34,0.09,163.02,1974.36,Achterstallig
108,INK2024-00108,18,2024-10-18,2024-11-01,Bal moeilijk gebied gras.,858.76,0.21,180.34,1039.1,Betaald
109,INK2025-00109,1,2025-02-08,2025-02-22,Open hoeveelheid ster kruis.,6377.01,0.09,573.93,6950.94,Betaald
110,INK2023-00110,11,2023-04-07,2023-04-21,Vaarwel binnen stelen lucht speciaal groep nieuws.,1121.06,0.09,100.9,1221.96,Betaald
111,INK2026-00111,2,2026-01-10,2026-01-24,Minder zijn rechtvaardig.,4287.68,0.21,900.41,5188.09,Betaald
112,INK2024-00112,17,2024-01-14,2024-01-28,Sport bad plat trouwen ja.,4507.06,0.21,946.48,5453.54,Betaald
113,INK2026-00113,17,2026-04-25,2026-05-25,Uitvinden mogen plaat vroeg boven zon praten.,3007.2,0.21,631.51,3638.71,Betaald
114,INK2024-00114,18,2024-06-18,2024-07-02,Reiken sok antwoorden vreemd verandering.,7326.47,0.21,1538.56,8865.03,Betaald
115,INK2023-00115,4,2023-03-19,2023-05-03,Effect geit duwen bijten onderwerp gespannen wind gebruik.,6680.48,0.21,1402.9,8083.38,Betaald
116,INK2024-00116,8,2024-09-09,2024-10-24,Vernietigen vouwen acht zinken stempel zeil.,1158.91,0.21,243.37,1402.28,Betaald
117,INK2024-00117,20,2024-07-24,2024-08-23,Te elektrisch olie groente.,3955.09,0.09,355.96,4311.05,Betaald
118,INK2025-00118,5,2025-05-02,2025-06-16,Schaar instrument ruimte jaar.,6303.89,0.09,567.35,6871.24,Betaald
119,INK2023-00119,12,2023-01-12,2023-02-11,Stuk ring glimlach wie verrassen list.,2981.16,0.09,268.3,3249.46,Achterstallig
120,INK2025-00120,7,2025-08-10,2025-08-24,Slecht rook lucht schreeuwen model natuur zien.,6332.76,0.21,1329.88,7662.64,Achterstallig
121,INK2024-00121,18,2024-04-18,2024-05-02,Weg door sneeuw springen zijn tweede tamelijk antwoord.,2351.13,0.21,493.74,2844.87,Betaald
122,INK2023-00122,17,2023-08-17,2023-09-16,Lot dag rest.,7238.31,0.09,651.45,7889.76,Achterstallig
123,INK2025-00123,7,2025-08-21,2025-09-20,Algemeen succes het taart bescherm.,2364.37,0.09,212.79,2577.16,Achterstallig
124,INK2023-00124,1,2023-08-17,2023-09-16,Thee hard bouwen liegen.,5063.79,0.09,455.74,5519.53,Betaald
125,INK2024-00125,1,2024-04-10,2024-04-24,Nieuw afhangen wind boek volgorde woord zonder.,452.68,0.09,40.74,493.42,Achterstallig
126,INK2024-00126,1,2024-03-30,2024-05-14,Leeg meisje naar gevolg grappig zee buurvrouw.,771.93,0.09,69.47,841.4,Betaald
127,INK2025-00127,14,2025-10-03,2025-11-02,Heet wissen min schoon onder.,3020.97,0.21,634.4,3655.37,Betaald
128,INK2023-00128,10,2023-12-11,2023-12-25,Mama broek afhangen bruikbaar maan terugkomst.,6822.41,0.09,614.02,7436.43,Betaald
129,INK2024-00129,9,2024-08-12,2024-08-26,Gemak hoogte tennis schijnen reeds.,7515.63,0.21,1578.28,9093.91,Betaald
130,INK2025-00130,5,2025-09-07,2025-10-07,Tijd anders gemeen herfst klaar.,7145.26,0.09,643.07,7788.33,Achterstallig
131,INK2024-00131,3,2024-04-14,2024-05-29,Tekenen ongeluk perfect meest voorzien paard.,1206.62,0.09,108.6,1315.22,Achterstallig
132,INK2024-00132,18,2024-04-22,2024-05-22,Studie prijs beide tussen.,5240.9,0.21,1100.59,6341.49,Achterstallig
133,INK2023-00133,4,2023-03-01,2023-03-31,Moord bord maand plant vloer.,1844.6,0.09,166.01,2010.61,Achterstallig
134,INK2024-00134,18,2024-09-21,2024-10-21,Werk ontwikkelen gezond verjaardag doen machine grond.,1824.92,0.21,383.23,2208.15,Betaald
135,INK2024-00135,18,2024-09-17,2024-10-17,Buiten welkom rubber bel mond te haast.,6527.23,0.21,1370.72,7897.95,Betaald
136,INK2025-00136,8,2025-06-28,2025-07-12,Genot van wat scherp.,467.96,0.09,42.12,510.08,Betaald
137,INK2023-00137,8,2023-11-14,2023-11-28,Boete toekomst doos kennen bijna vangen.,3877.57,0.21,814.29,4691.86,Betaald
138,INK2023-00138,13,2023-10-15,2023-11-14,Algemeen graf vriendelijk maag.,7737.68,0.21,1624.91,9362.59,Betaald
139,INK2024-00139,18,2024-12-23,2025-01-22,Spreken diep voor uur maken.,4419.65,0.09,397.77,4817.42,Betaald
140,INK2023-00140,17,2023-04-14,2023-04-28,Zien trein thee.,1923.25,0.09,173.09,2096.34,Betaald
141,INK2023-00141,1,2023-07-23,2023-09-06,Feest daarom bloed raak diep buren.,2866.41,0.21,601.95,3468.36,Achterstallig
142,INK2024-00142,17,2024-10-29,2024-12-13,Gevolg potlood broer vergelijking vreemd prins.,5469.53,0.09,492.26,5961.79,Betaald
143,INK2025-00143,9,2025-12-04,2026-01-18,Kleden mes genot.,1447.82,0.09,130.3,1578.12,Betaald
144,INK2026-00144,16,2026-03-30,2026-04-13,Raak eten tien kans chocolade bewolkt.,4711.02,0.21,989.31,5700.33,Achterstallig
145,INK2023-00145,5,2023-07-06,2023-08-20,Glad provincie langs weg rapport.,6946.49,0.09,625.18,7571.67,Achterstallig
146,INK2024-00146,14,2024-08-29,2024-09-12,Stop kasteel enkele glas correct.,3281.18,0.09,295.31,3576.49,Achterstallig
147,INK2023-00147,8,2023-07-14,2023-07-28,Bruin verf brandstof schaap resultaat plaats.,1772.04,0.21,372.13,2144.17,Betaald
148,INK2025-00148,13,2025-08-24,2025-09-07,Heuvel station laag seconde netjes verschil hotel feest.,1391.75,0.21,292.27,1684.02,Betaald
149,INK2024-00149,4,2024-01-27,2024-02-26,Niet diep negen soep plant belangrijk.,5061.36,0.09,455.52,5516.88,Achterstallig
150,INK2024-00150,2,2024-12-24,2025-01-23,Goedkoop per vanmorgen rechts.,7825.52,0.09,704.3,8529.82,Achterstallig
151,INK2025-00151,7,2025-07-10,2025-08-09,Duwen effect eiland.,4538.22,0.09,408.44,4946.66,Achterstallig
152,INK2025-00152,9,2025-05-28,2025-06-27,Keus gebruiken ja begrip extreem richting werelddeel.,2917.06,0.21,612.58,3529.64,Achterstallig
153,INK2023-00153,15,2023-08-06,2023-09-20,Vlees drie muziek huur weer mijn.,50.84,0.09,4.58,55.42,Achterstallig
154,INK2024-00154,12,2024-07-23,2024-08-22,Vinger snel mogelijk.,5278.63,0.21,1108.51,6387.14,Betaald
155,INK2026-00155,1,2026-04-05,2026-05-20,Schaar voorzichtig vechten vaarwel kans toen veel waar.,6041.22,0.09,543.71,6584.93,Achterstallig
156,INK2025-00156,8,2025-09-26,2025-10-26,Dus signaal manier mes gevaar terugkomst.,6971.9,0.09,627.47,7599.37,Betaald
157,INK2025-00157,8,2025-04-30,2025-05-30,Oneven glad openlijk appel leeg.,6782.43,0.09,610.42,7392.85,Betaald
158,INK2025-00158,2,2025-10-11,2025-10-25,Bedreven acht ontsnappen.,1487.06,0.21,312.28,1799.34,Betaald
159,INK2025-00159,11,2025-10-19,2025-11-02,Water koffer noord buurman steun lui uur.,5208.46,0.09,468.76,5677.22,Betaald
160,INK2025-00160,18,2025-12-22,2026-01-05,Miljoen ouder tijd vandaag onder.,6455.81,0.21,1355.72,7811.53,Betaald
161,INK2025-00161,13,2025-03-14,2025-03-28,Rapport kleden oost dag alleen.,1236.18,0.09,111.26,1347.44,Betaald
162,INK2025-00162,9,2025-01-05,2025-02-19,Als ding kans vader jouw.,2592.39,0.21,544.4,3136.79,Betaald
163,INK2024-00163,11,2024-08-19,2024-10-03,Pan bank stuk belangrijk vergelijkbaar.,1640.69,0.21,344.54,1985.23,Betaald
164,INK2023-00164,6,2023-10-22,2023-11-05,Verstand van dan poort geur antwoord onderwerp koningin.,3230.39,0.09,290.74,3521.13,Betaald
165,INK2025-00165,20,2025-11-05,2025-12-20,Kans wij trekken slaapkamer.,3675.95,0.21,771.95,4447.9,Achterstallig
166,INK2024-00166,20,2024-03-09,2024-04-23,Enthousiast schaap telefoon fout kiezen.,4701.83,0.21,987.38,5689.21,Achterstallig
167,INK2025-00167,20,2025-03-12,2025-04-11,Storm zitten tennis haten ring.,3829.85,0.09,344.69,4174.54,Betaald
168,INK2024-00168,10,2024-11-19,2024-12-19,Mogelijk nemen wissen wiel lunch ontwikkelen dier we.,1352.42,0.09,121.72,1474.14,Achterstallig
169,INK2023-00169,15,2023-11-03,2023-12-18,Blijven verschil orde glad laat gif.,6431.79,0.09,578.86,7010.65,Achterstallig
170,INK2023-00170,16,2023-06-16,2023-07-31,Papa stop jouw plank verkeerd.,4331.75,0.09,389.86,4721.61,Achterstallig
171,INK2023-00171,14,2023-05-06,2023-05-20,Vlees drinken spel spel midden vlag ruiken.,1707.77,0.09,153.7,1861.47,Betaald
172,INK2025-00172,15,2025-03-04,2025-04-03,Lezen boven gebruikelijk vers.,1789.33,0.09,161.04,1950.37,Betaald
173,INK2025-00173,16,2025-07-06,2025-08-05,Vriend dom paar familie verzamelen.,4738.2,0.09,426.44,5164.64,Betaald
174,INK2025-00174,8,2025-09-08,2025-10-23,Markeren borstelen krijgen vandaag.,1467.45,0.21,308.16,1775.61,Betaald
175,INK2025-00175,14,2025-06-25,2025-08-09,Taxi grijs bad.,6297.76,0.21,1322.53,7620.29,Betaald
176,INK2023-00176,14,2023-10-09,2023-11-08,Huur kat bijna object gedragen bij.,3220.32,0.21,676.27,3896.59,Betaald
177,INK2023-00177,19,2023-04-13,2023-05-13,Zeker jas wiel slapen.,1805.24,0.09,162.47,1967.71,Achterstallig
178,INK2025-00178,18,2025-12-22,2026-01-05,Nemen pan avondeten televisie.,1701.97,0.09,153.18,1855.15,Betaald
179,INK2026-00179,12,2026-04-06,2026-04-20,Roze ieder kaars trein werelddeel.,3817.42,0.21,801.66,4619.08,Achterstallig
180,INK2025-00180,15,2025-05-07,2025-05-21,Liefde wereld laken meerdere.,4995.8,0.09,449.62,5445.42,Betaald
181,INK2026-00181,19,2026-02-08,2026-02-22,Duwen plant hoeveel glad vullen.,5947.34,0.09,535.26,6482.6,Betaald
182,INK2025-00182,4,2025-12-13,2026-01-12,Varken zullen lucht stad conditie.,3530.39,0.21,741.38,4271.77,Achterstallig
183,INK2023-00183,10,2023-04-09,2023-05-09,Naam fles ladder stoffig eenheid veilig.,6766.54,0.21,1420.97,8187.51,Betaald
184,INK2025-00184,10,2025-04-23,2025-06-07,Bruin activiteit kleden met succes beroep.,2778.27,0.09,250.04,3028.31,Betaald
185,INK2025-00185,19,2025-07-07,2025-08-21,Vorm plat woud schouder kloppen.,5427.42,0.21,1139.76,6567.18,Achterstallig
186,INK2023-00186,4,2023-12-02,2024-01-16,Rest kleur totaal verenigen foto miljoen kant.,1911.01,0.21,401.31,2312.32,Achterstallig
187,INK2025-00187,19,2025-03-05,2025-04-04,Markt brengen altijd duur om olifant.,6921.9,0.09,622.97,7544.87,Betaald
188,INK2023-00188,14,2023-09-29,2023-11-13,Of gat repareren ontsnappen.,3179.78,0.21,667.75,3847.53,Betaald
189,INK2025-00189,13,2025-09-30,2025-10-30,Beest plafond verjaardag machine verrassen vriezen.,6630.49,0.09,596.74,7227.23,Betaald
190,INK2024-00190,1,2024-04-16,2024-05-16,Zoet per zorg voorbeeld.,1068.28,0.09,96.15,1164.43,Betaald
191,INK2025-00191,18,2025-07-16,2025-08-15,Wild stil muziek beest zitten.,2973.9,0.21,624.52,3598.42,Betaald
192,INK2024-00192,19,2024-07-18,2024-08-01,Sap lopen waar kind.,5689.26,0.09,512.03,6201.29,Achterstallig
193,INK2023-00193,18,2023-04-15,2023-04-29,Natuur kunnen snel.,577.34,0.21,121.24,698.58,Achterstallig
194,INK2023-00194,16,2023-09-26,2023-10-10,Partner mand drijven.,6493.88,0.21,1363.71,7857.59,Betaald
195,INK2025-00195,17,2025-09-16,2025-10-31,Rechtdoor me vinden wind buiten opa structuur.,7363.51,0.21,1546.34,8909.85,Betaald
196,INK2023-00196,9,2023-12-23,2024-01-22,Ja genieten zus schrijven ontdekken.,3343.28,0.09,300.9,3644.18,Betaald
197,INK2023-00197,18,2023-03-24,2023-04-07,Compleet feest vallen.,4440.54,0.09,399.65,4840.19,Betaald
198,INK2023-00198,10,2023-02-23,2023-03-09,Vrijheid vork munt maand jas maag lijk plaats.,1408.41,0.09,126.76,1535.17,Achterstallig
199,INK2025-00199,16,2025-03-05,2025-04-04,Dorp af wetenschap natuur behalve.,712.99,0.21,149.73,862.72,Betaald
200,INK2025-00200,13,2025-01-06,2025-02-20,Verzameling vol groot beroep huur draaien.,3491.54,0.21,733.22,4224.76,Achterstallig
201,INK2024-00201,18,2024-12-27,2025-01-26,Buiten gat als liegen plastic.,6524.14,0.21,1370.07,7894.21,Achterstallig
202,INK2025-00202,17,2025-12-21,2026-01-04,Midden jagen schudden melk iemand nodig.,1617.15,0.09,145.54,1762.69,Betaald
203,INK2024-00203,13,2024-06-26,2024-07-10,Openlijk oog boete.,4999.9,0.09,449.99,5449.89,Betaald
