regel_id,factuur_id,product_id,omschrijving,aantal,eenheidsprijs,btw_tarief,bedrag_excl_btw,bedrag_btw
33,11,24,Afplakfolie (m²),17.8,2.5,0.21,44.5,9.34
34,11,5,Behangen,11.5,22.0,0.21,253.0,53.13
35,11,6,Stucwerk,2.6,35.0,0.21,91.0,19.11
36,12,30,Omzetbelasting correctie,11.6,0.0,0.09,0.0,0.0
37,12,23,Kwasten en rollers (set),19.4,18.0,0.21,349.2,73.33
38,12,22,Schuurpapier (set),19.9,12.0,0.21,238.8,50.15
39,12,15,Tuinaanleg,11.6,25.0,0.21,290.0,60.9
40,13,27,Steiger huur (dag),14.7,85.0,0.21,1249.5,262.39
41,13,20,Materiaal verf (liter),11.9,8.5,0.21,101.15,21.24
42,14,19,Kleine reparaties,6.8,65.0,0.21,442.0,92.82
43,14,25,Houtbeschermingsproduct (liter),1.4,14.0,0.21,19.6,4.12
44,14,25,Houtbeschermingsproduct (liter),6.3,14.0,0.21,88.2,18.52
45,14,19,Kleine reparaties,18.0,65.0,0.21,1170.0,245.7
46,14,1,Advies en consultancy,16.8,95.0,0.21,1596.0,335.16
47,15,1,Advies en consultancy,8.2,95.0,0.21,779.0,163.59
48,15,24,Afplakfolie (m²),1.9,2.5,0.21,4.75,1.0
49,15,11,Grondverf aanbrengen,9.0,6.5,0.21,58.5,12.29
50,15,8,Schuurwerk en voorbereiding,5.4,55.0,0.21,297.0,62.37
51,16,30,Omzetbelasting correctie,5.2,0.0,0.09,0.0,0.0
52,17,8,Schuurwerk en voorbereiding,13.1,55.0,0.21,720.5,151.31
53,17,17,Autodetailing,6.3,120.0,0.21,756.0,158.76
54,17,16,Bestrating,14.7,40.0,0.21,588.0,123.48
55,18,11,Grondverf aanbrengen,16.3,6.5,0.21,105.95,22.25
56,18,26,Kitten en afdichtmiddel (stuk),1.2,9.0,0.21,10.8,2.27
57,19,9,Gevelreiniging,2.5,8.0,0.21,20.0,4.2
58,20,4,Uitvoering schilderwerk binnen,7.2,14.0,0.21,100.8,21.17
59,20,11,Grondverf aanbrengen,7.0,6.5,0.21,45.5,9.55
60,20,10,Dakgoot behandeling,17.1,12.0,0.21,205.2,43.09
61,20,19,Kleine reparaties,18.6,65.0,0.21,1209.0,253.89
62,20,13,Kleuradvies,4.3,65.0,0.21,279.5,58.7
63,21,8,Schuurwerk en voorbereiding,13.5,55.0,0.21,742.5,155.92
64,21,20,Materiaal verf (liter),16.1,8.5,0.21,136.85,28.74
65,22,17,Autodetailing,8.4,120.0,0.21,1008.0,211.68
66,22,2,Projectbegeleiding,6.3,85.0,0.21,535.5,112.45
67,23,20,Materiaal verf (liter),12.4,8.5,0.21,105.4,22.13
68,23,15,Tuinaanleg,4.0,25.0,0.21,100.0,21.0
69,23,16,Bestrating,6.6,40.0,0.21,264.0,55.44
70,23,6,Stucwerk,12.4,35.0,0.21,434.0,91.14
71,23,27,Steiger huur (dag),3.5,85.0,0.21,297.5,62.47
72,23,10,Dakgoot behandeling,2.7,12.0,0.21,32.4,6.8
73,24,20,Materiaal verf (liter),5.0,8.5,0.21,42.5,8.92
74,24,28,Hoogwerker huur (dag),19.8,180.0,0.21,3564.0,748.44
75,24,1,Advies en consultancy,8.5,95.0,0.21,807.5,169.57
76,24,5,Behangen,16.6,22.0,0.21,365.2,76.69
77,25,1,Advies en consultancy,4.5,95.0,0.21,427.5,89.77
78,25,2,Projectbegeleiding,8.9,85.0,0.21,756.5,158.86
79,25,22,Schuurpapier (set),12.1,12.0,0.21,145.2,30.49
80,26,16,Bestrating,2.6,40.0,0.21,104.0,21.84
81,26,2,Projectbegeleiding,1.0,85.0,0.21,85.0,17.85
82,26,21,Materiaal grondverf (liter),1.4,6.0,0.21,8.4,1.76
83,26,23,Kwasten en rollers (set),12.1,18.0,0.21,217.8,45.74
84,26,11,Grondverf aanbrengen,9.2,6.5,0.21,59.8,12.56
85,27,20,Materiaal verf (liter),6.9,8.5,0.21,58.65,12.32
86,27,24,Afplakfolie (m²),9.5,2.5,0.21,23.75,4.99
87,27,20,Materiaal verf (liter),16.4,8.5,0.21,139.4,29.27
88,28,21,Materiaal grondverf (liter),9.9,6.0,0.21,59.4,12.47
89,28,30,Omzetbelasting correctie,15.9,0.0,0.09,0.0,0.0
90,28,25,Houtbeschermingsproduct (liter),2.4,14.0,0.21,33.6,7.06
91,28,11,Grondverf aanbrengen,8.2,6.5,0.21,53.3,11.19
92,28,15,Tuinaanleg,14.9,25.0,0.21,372.5,78.22
93,28,27,Steiger huur (dag),5.7,85.0,0.21,484.5,101.74
94,29,22,Schuurpapier (set),9.6,12.0,0.21,115.2,24.19
95,30,5,Behangen,1.5,22.0,0.21,33.0,6.93
96,31,20,Materiaal verf (liter),2.1,8.5,0.21,17.85,3.75
97,31,5,Behangen,5.7,22.0,0.21,125.4,26.33
98,31,22,Schuurpapier (set),3.2,12.0,0.21,38.4,8.06
99,31,16,Bestrating,12.9,40.0,0.21,516.0,108.36
100,31,22,Schuurpapier (set),18.6,12.0,0.21,223.2,46.87
101,31,1,Advies en consultancy,8.3,95.0,0.21,788.5,165.59
102,32,18,APK-keuring begeleiding,7.8,35.0,0.21,273.0,57.33
103,33,3,Uitvoering schilderwerk buiten,2.6,18.5,0.21,48.1,10.1
104,33,28,Hoogwerker huur (dag),3.9,180.0,0.21,702.0,147.42
105,33,10,Dakgoot behandeling,4.7,12.0,0.21,56.4,11.84
106,33,2,Projectbegeleiding,1.5,85.0,0.21,127.5,26.77
107,34,23,Kwasten en rollers (set),14.2,18.0,0.21,255.6,53.68
108,34,7,Houtrot herstel,3.7,75.0,0.21,277.5,58.27
109,35,23,Kwasten en rollers (set),5.9,18.0,0.21,106.2,22.3
110,35,16,Bestrating,13.5,40.0,0.21,540.0,113.4
111,35,7,Houtrot herstel,16.2,75.0,0.21,1215.0,255.15
112,35,16,Bestrating,8.8,40.0,0.21,352.0,73.92
113,35,19,Kleine reparaties,2.4,65.0,0.21,156.0,32.76
114,36,28,Hoogwerker huur (dag),1.6,180.0,0.21,288.0,60.48
115,36,13,Kleuradvies,16.3,65.0,0.21,1059.5,222.5
116,36,6,Stucwerk,14.3,35.0,0.21,500.5,105.1
117,36,13,Kleuradvies,6.6,65.0,0.21,429.0,90.09
118,36,14,Snoeien en onderhoud,9.5,60.0,0.21,570.0,119.7
119,36,26,Kitten en afdichtmiddel (stuk),17.7,9.0,0.21,159.3,33.45
120,37,26,Kitten en afdichtmiddel (stuk),18.3,9.0,0.21,164.7,34.59
121,37,16,Bestrating,19.1,40.0,0.21,764.0,160.44
122,38,10,Dakgoot behandeling,12.2,12.0,0.21,146.4,30.74
123,38,6,Stucwerk,4.1,35.0,0.21,143.5,30.13
124,38,27,Steiger huur (dag),16.2,85.0,0.21,1377.0,289.17
125,38,10,Dakgoot behandeling,14.5,12.0,0.21,174.0,36.54
126,38,27,Steiger huur (dag),3.3,85.0,0.21,280.5,58.91
127,39,11,Grondverf aanbrengen,8.3,6.5,0.21,53.95,11.33
128,39,30,Omzetbelasting correctie,7.3,0.0,0.09,0.0,0.0
129,39,4,Uitvoering schilderwerk binnen,3.7,14.0,0.21,51.8,10.88
130,39,22,Schuurpapier (set),2.0,12.0,0.21,24.0,5.04
131,40,11,Grondverf aanbrengen,14.3,6.5,0.21,92.95,19.52
132,40,20,Materiaal verf (liter),9.4,8.5,0.21,79.9,16.78
133,40,25,Houtbeschermingsproduct (liter),5.1,14.0,0.21,71.4,14.99
134,40,22,Schuurpapier (set),17.7,12.0,0.21,212.4,44.6
135,40,28,Hoogwerker huur (dag),3.6,180.0,0.21,648.0,136.08
136,40,5,Behangen,11.9,22.0,0.21,261.8,54.98
137,41,18,APK-keuring begeleiding,19.7,35.0,0.21,689.5,144.79
138,41,23,Kwasten en rollers (set),18.8,18.0,0.21,338.4,71.06
139,41,23,Kwasten en rollers (set),13.7,18.0,0.21,246.6,51.79
140,41,23,Kwasten en rollers (set),1.1,18.0,0.21,19.8,4.16
141,42,4,Uitvoering schilderwerk binnen,17.4,14.0,0.21,243.6,51.16
142,42,10,Dakgoot behandeling,14.3,12.0,0.21,171.6,36.04
143,42,2,Projectbegeleiding,9.7,85.0,0.21,824.5,173.14
144,43,7,Houtrot herstel,9.4,75.0,0.21,705.0,148.05
145,43,24,Afplakfolie (m²),17.7,2.5,0.21,44.25,9.29
146,44,15,Tuinaanleg,1.2,25.0,0.21,30.0,6.3
147,44,7,Houtrot herstel,8.7,75.0,0.21,652.5,137.03
148,44,8,Schuurwerk en voorbereiding,13.7,55.0,0.21,753.5,158.23
149,44,28,Hoogwerker huur (dag),17.4,180.0,0.21,3132.0,657.72
150,44,26,Kitten en afdichtmiddel (stuk),10.9,9.0,0.21,98.1,20.6
151,44,7,Houtrot herstel,1.1,75.0,0.21,82.5,17.32
152,45,17,Autodetailing,18.4,120.0,0.21,2208.0,463.68
153,45,5,Behangen,8.4,22.0,0.21,184.8,38.81
154,45,9,Gevelreiniging,15.7,8.0,0.21,125.6,26.38
155,46,26,Kitten en afdichtmiddel (stuk),10.7,9.0,0.21,96.3,20.22
156,47,7,Houtrot herstel,8.2,75.0,0.21,615.0,129.15
157,47,28,Hoogwerker huur (dag),7.4,180.0,0.21,1332.0,279.72
158,47,22,Schuurpapier (set),5.8,12.0,0.21,69.6,14.62
159,47,30,Omzetbelasting correctie,6.4,0.0,0.09,0.0,0.0
160,47,14,Snoeien en onderhoud,17.7,60.0,0.21,1062.0,223.02
161,47,20,Materiaal verf (liter),3.5,8.5,0.21,29.75,6.25
162,48,9,Gevelreiniging,12.8,8.0,0.21,102.4,21.5
163,48,25,Houtbeschermingsproduct (liter),17.5,14.0,0.21,245.0,51.45
164,49,4,Uitvoering schilderwerk binnen,18.1,14.0,0.21,253.4,53.21
165,50,2,Projectbegeleiding,11.3,85.0,0.21,960.5,201.7
166,50,2,Projectbegeleiding,5.1,85.0,0.21,433.5,91.03
167,50,17,Autodetailing,14.9,120.0,0.21,1788.0,375.48
168,50,19,Kleine reparaties,13.1,65.0,0.21,851.5,178.81
169,50,24,Afplakfolie (m²),15.0,2.5,0.21,37.5,7.88
170,50,10,Dakgoot behandeling,5.9,12.0,0.21,70.8,14.87
171,51,3,Uitvoering schilderwerk buiten,14.1,18.5,0.21,260.85,54.78
172,51,27,Steiger huur (dag),7.3,85.0,0.21,620.5,130.31
173,51,17,Autodetailing,13.1,120.0,0.21,1572.0,330.12
174,52,2,Projectbegeleiding,12.9,85.0,0.21,1096.5,230.26
175,52,1,Advies en consultancy,3.0,95.0,0.21,285.0,59.85
176,53,18,APK-keuring begeleiding,6.0,35.0,0.21,210.0,44.1
177,53,3,Uitvoering schilderwerk buiten,19.3,18.5,0.21,357.05,74.98
178,53,20,Materiaal verf (liter),1.7,8.5,0.21,14.45,3.03
179,53,29,Cursus veiligheid op hoogte,9.8,250.0,0.21,2450.0,514.5
180,54,23,Kwasten en rollers (set),4.9,18.0,0.21,88.2,18.52
181,54,23,Kwasten en rollers (set),3.0,18.0,0.21,54.0,11.34
182,54,3,Uitvoering schilderwerk buiten,3.0,18.5,0.21,55.5,11.65
183,54,17,Autodetailing,18.6,120.0,0.21,2232.0,468.72
184,54,14,Snoeien en onderhoud,19.6,60.0,0.21,1176.0,246.96
185,54,17,Autodetailing,19.6,120.0,0.21,2352.0,493.92
186,55,22,Schuurpapier (set),4.8,12.0,0.21,57.6,12.1
187,55,14,Snoeien en onderhoud,2.2,60.0,0.21,132.0,27.72
188,56,18,APK-keuring begeleiding,2.3,35.0,0.21,80.5,16.91
189,56,12,Lakken kozijnen,9.0,45.0,0.21,405.0,85.05
190,56,15,Tuinaanleg,14.4,25.0,0.21,360.0,75.6
191,56,18,APK-keuring begeleiding,8.0,35.0,0.21,280.0,58.8
192,56,12,Lakken kozijnen,19.1,45.0,0.21,859.5,180.5
193,56,8,Schuurwerk en voorbereiding,12.0,55.0,0.21,660.0,138.6
194,57,29,Cursus veiligheid op hoogte,15.8,250.0,0.21,3950.0,829.5
195,57,16,Bestrating,7.4,40.0,0.21,296.0,62.16
196,57,2,Projectbegeleiding,2.3,85.0,0.21,195.5,41.05
197,57,11,Grondverf aanbrengen,11.2,6.5,0.21,72.8,15.29
198,58,5,Behangen,16.0,22.0,0.21,352.0,73.92
199,59,8,Schuurwerk en voorbereiding,5.8,55.0,0.21,319.0,66.99
200,59,3,Uitvoering schilderwerk buiten,13.1,18.5,0.21,242.35,50.89
201,59,26,Kitten en afdichtmiddel (stuk),15.0,9.0,0.21,135.0,28.35
202,59,2,Projectbegeleiding,4.1,85.0,0.21,348.5,73.19
203,59,5,Behangen,17.6,22.0,0.21,387.2,81.31
204,59,12,Lakken kozijnen,18.9,45.0,0.21,850.5,178.6
205,60,18,APK-keuring begeleiding,18.4,35.0,0.21,644.0,135.24
206,61,18,APK-keuring begeleiding,17.4,35.0,0.21,609.0,127.89
207,61,28,Hoogwerker huur (dag),4.2,180.0,0.21,756.0,158.76
208,62,5,Behangen,7.1,22.0,0.21,156.2,32.8
209,62,23,Kwasten en rollers (set),14.9,18.0,0.21,268.2,56.32
210,62,21,Materiaal grondverf (liter),10.6,6.0,0.21,63.6,13.36
211,63,27,Steiger huur (dag),3.7,85.0,0.21,314.5,66.05
212,64,12,Lakken kozijnen,15.0,45.0,0.21,675.0,141.75
213,65,16,Bestrating,3.1,40.0,0.21,124.0,26.04
214,65,12,Lakken kozijnen,14.5,45.0,0.21,652.5,137.03
215,65,14,Snoeien en onderhoud,7.6,60.0,0.21,456.0,95.76
216,65,13,Kleuradvies,8.7,65.0,0.21,565.5,118.75
217,65,15,Tuinaanleg,8.7,25.0,0.21,217.5,45.67
218,65,2,Projectbegeleiding,12.5,85.0,0.21,1062.5,223.12
219,66,23,Kwasten en rollers (set),8.0,18.0,0.21,144.0,30.24
220,66,6,Stucwerk,18.8,35.0,0.21,658.0,138.18
221,66,27,Steiger huur (dag),6.3,85.0,0.21,535.5,112.45
222,66,5,Behangen,19.7,22.0,0.21,433.4,91.01
223,66,13,Kleuradvies,14.0,65.0,0.21,910.0,191.1
224,67,8,Schuurwerk en voorbereiding,19.7,55.0,0.21,1083.5,227.53
225,67,23,Kwasten en rollers (set),1.3,18.0,0.21,23.4,4.91
226,67,1,Advies en consultancy,7.9,95.0,0.21,750.5,157.6
227,68,4,Uitvoering schilderwerk binnen,2.6,14.0,0.21,36.4,7.64
228,68,11,Grondverf aanbrengen,1.7,6.5,0.21,11.05,2.32
229,68,23,Kwasten en rollers (set),2.8,18.0,0.21,50.4,10.58
230,68,3,Uitvoering schilderwerk buiten,8.5,18.5,0.21,157.25,33.02
231,68,27,Steiger huur (dag),18.3,85.0,0.21,1555.5,326.65
232,69,9,Gevelreiniging,17.0,8.0,0.21,136.0,28.56
233,69,30,Omzetbelasting correctie,7.4,0.0,0.09,0.0,0.0
234,69,15,Tuinaanleg,17.4,25.0,0.21,435.0,91.35
235,69,30,Omzetbelasting correctie,17.2,0.0,0.09,0.0,0.0
236,69,8,Schuurwerk en voorbereiding,7.1,55.0,0.21,390.5,82.0
237,69,17,Autodetailing,10.5,120.0,0.21,1260.0,264.6
238,70,16,Bestrating,11.8,40.0,0.21,472.0,99.12
239,70,27,Steiger huur (dag),5.8,85.0,0.21,493.0,103.53
240,70,8,Schuurwerk en voorbereiding,19.4,55.0,0.21,1067.0,224.07
241,70,23,Kwasten en rollers (set),10.6,18.0,0.21,190.8,40.07
242,71,16,Bestrating,14.2,40.0,0.21,568.0,119.28
243,72,11,Grondverf aanbrengen,6.0,6.5,0.21,39.0,8.19
244,72,29,Cursus veiligheid op hoogte,12.3,250.0,0.21,3075.0,645.75
245,72,6,Stucwerk,19.8,35.0,0.21,693.0,145.53
246,72,16,Bestrating,13.7,40.0,0.21,548.0,115.08
247,72,10,Dakgoot behandeling,1.0,12.0,0.21,12.0,2.52
248,73,11,Grondverf aanbrengen,2.6,6.5,0.21,16.9,3.55
249,74,2,Projectbegeleiding,17.7,85.0,0.21,1504.5,315.94
250,74,23,Kwasten en rollers (set),14.8,18.0,0.21,266.4,55.94
251,74,8,Schuurwerk en voorbereiding,7.1,55.0,0.21,390.5,82.0
252,74,14,Snoeien en onderhoud,17.1,60.0,0.21,1026.0,215.46
253,74,30,Omzetbelasting correctie,5.1,0.0,0.09,0.0,0.0
254,74,20,Materiaal verf (liter),14.5,8.5,0.21,123.25,25.88
255,75,27,Steiger huur (dag),12.3,85.0,0.21,1045.5,219.55
256,75,8,Schuurwerk en voorbereiding,2.3,55.0,0.21,126.5,26.56
257,75,15,Tuinaanleg,10.9,25.0,0.21,272.5,57.23
258,75,24,Afplakfolie (m²),1.1,2.5,0.21,2.75,0.58
259,75,10,Dakgoot behandeling,17.2,12.0,0.21,206.4,43.34
260,76,11,Grondverf aanbrengen,14.3,6.5,0.21,92.95,19.52
261,76,9,Gevelreiniging,2.2,8.0,0.21,17.6,3.7
262,77,8,Schuurwerk en voorbereiding,13.0,55.0,0.21,715.0,150.15
263,77,14,Snoeien en onderhoud,9.1,60.0,0.21,546.0,114.66
264,77,8,Schuurwerk en voorbereiding,15.6,55.0,0.21,858.0,180.18
265,77,13,Kleuradvies,4.2,65.0,0.21,273.0,57.33
266,77,30,Omzetbelasting correctie,13.2,0.0,0.09,0.0,0.0
267,77,17,Autodetailing,16.0,120.0,0.21,1920.0,403.2
268,78,10,Dakgoot behandeling,15.8,12.0,0.21,189.6,39.82
269,78,29,Cursus veiligheid op hoogte,14.3,250.0,0.21,3575.0,750.75
270,78,9,Gevelreiniging,15.6,8.0,0.21,124.8,26.21
271,78,28,Hoogwerker huur (dag),1.1,180.0,0.21,198.0,41.58
272,78,12,Lakken kozijnen,18.3,45.0,0.21,823.5,172.94
273,79,28,Hoogwerker huur (dag),12.6,180.0,0.21,2268.0,476.28
274,80,4,Uitvoering schilderwerk binnen,15.2,14.0,0.21,212.8,44.69
275,80,5,Behangen,13.7,22.0,0.21,301.4,63.29
276,80,20,Materiaal verf (liter),5.4,8.5,0.21,45.9,9.64
277,80,14,Snoeien en onderhoud,14.9,60.0,0.21,894.0,187.74
278,80,12,Lakken kozijnen,13.3,45.0,0.21,598.5,125.69
279,81,16,Bestrating,10.1,40.0,0.21,404.0,84.84
280,81,28,Hoogwerker huur (dag),18.1,180.0,0.21,3258.0,684.18
281,81,22,Schuurpapier (set),11.1,12.0,0.21,133.2,27.97
282,81,26,Kitten en afdichtmiddel (stuk),19.2,9.0,0.21,172.8,36.29
283,81,14,Snoeien en onderhoud,18.6,60.0,0.21,1116.0,234.36
284,82,30,Omzetbelasting correctie,8.6,0.0,0.09,0.0,0.0
285,82,19,Kleine reparaties,4.0,65.0,0.21,260.0,54.6
286,82,14,Snoeien en onderhoud,9.2,60.0,0.21,552.0,115.92
287,82,15,Tuinaanleg,10.8,25.0,0.21,270.0,56.7
288,83,6,Stucwerk,4.6,35.0,0.21,161.0,33.81
289,83,30,Omzetbelasting correctie,13.2,0.0,0.09,0.0,0.0
290,83,22,Schuurpapier (set),17.9,12.0,0.21,214.8,45.11
291,84,18,APK-keuring begeleiding,3.0,35.0,0.21,105.0,22.05
292,84,11,Grondverf aanbrengen,7.5,6.5,0.21,48.75,10.24
293,84,16,Bestrating,10.1,40.0,0.21,404.0,84.84
294,84,5,Behangen,9.2,22.0,0.21,202.4,42.5
295,84,20,Materiaal verf (liter),16.9,8.5,0.21,143.65,30.17
296,85,1,Advies en consultancy,18.6,95.0,0.21,1767.0,371.07
297,85,30,Omzetbelasting correctie,14.5,0.0,0.09,0.0,0.0
298,85,30,Omzetbelasting correctie,6.5,0.0,0.09,0.0,0.0
299,86,3,Uitvoering schilderwerk buiten,19.1,18.5,0.21,353.35,74.2
300,86,5,Behangen,12.2,22.0,0.21,268.4,56.36
301,86,28,Hoogwerker huur (dag),7.7,180.0,0.21,1386.0,291.06
302,86,13,Kleuradvies,7.7,65.0,0.21,500.5,105.1
303,86,3,Uitvoering schilderwerk buiten,11.2,18.5,0.21,207.2,43.51
304,87,1,Advies en consultancy,14.6,95.0,0.21,1387.0,291.27
305,88,21,Materiaal grondverf (liter),9.8,6.0,0.21,58.8,12.35
306,88,2,Projectbegeleiding,12.9,85.0,0.21,1096.5,230.26
307,88,21,Materiaal grondverf (liter),1.3,6.0,0.21,7.8,1.64
308,89,21,Materiaal grondverf (liter),10.6,6.0,0.21,63.6,13.36
309,90,22,Schuurpapier (set),13.2,12.0,0.21,158.4,33.26
310,90,12,Lakken kozijnen,3.8,45.0,0.21,171.0,35.91
311,90,6,Stucwerk,4.1,35.0,0.21,143.5,30.13
312,90,28,Hoogwerker huur (dag),4.6,180.0,0.21,828.0,173.88
313,91,7,Houtrot herstel,1.4,75.0,0.21,105.0,22.05
314,91,5,Behangen,16.4,22.0,0.21,360.8,75.77
315,91,26,Kitten en afdichtmiddel (stuk),4.3,9.0,0.21,38.7,8.13
316,91,13,Kleuradvies,13.4,65.0,0.21,871.0,182.91
317,91,14,Snoeien en onderhoud,3.6,60.0,0.21,216.0,45.36
318,91,23,Kwasten en rollers (set),16.3,18.0,0.21,293.4,61.61
319,92,25,Houtbeschermingsproduct (liter),6.3,14.0,0.21,88.2,18.52
320,92,13,Kleuradvies,19.0,65.0,0.21,1235.0,259.35
321,92,20,Materiaal verf (liter),8.0,8.5,0.21,68.0,14.28
322,92,14,Snoeien en onderhoud,13.9,60.0,0.21,834.0,175.14
323,92,30,Omzetbelasting correctie,10.4,0.0,0.09,0.0,0.0
324,92,2,Projectbegeleiding,14.7,85.0,0.21,1249.5,262.39
325,93,24,Afplakfolie (m²),2.2,2.5,0.21,5.5,1.16
326,93,13,Kleuradvies,13.5,65.0,0.21,877.5,184.28
327,93,29,Cursus veiligheid op hoogte,11.4,250.0,0.21,2850.0,598.5
328,94,7,Houtrot herstel,15.9,75.0,0.21,1192.5,250.42
329,94,18,APK-keuring begeleiding,15.1,35.0,0.21,528.5,110.98
330,94,8,Schuurwerk en voorbereiding,13.6,55.0,0.21,748.0,157.08
331,94,30,Omzetbelasting correctie,7.7,0.0,0.09,0.0,0.0
332,94,18,APK-keuring begeleiding,18.9,35.0,0.21,661.5,138.91
333,95,11,Grondverf aanbrengen,5.6,6.5,0.21,36.4,7.64
334,95,1,Advies en consultancy,17.4,95.0,0.21,1653.0,347.13
335,95,26,Kitten en afdichtmiddel (stuk),9.8,9.0,0.21,88.2,18.52
336,95,12,Lakken kozijnen,11.0,45.0,0.21,495.0,103.95
337,95,1,Advies en consultancy,18.6,95.0,0.21,1767.0,371.07
338,96,25,Houtbeschermingsproduct (liter),16.3,14.0,0.21,228.2,47.92
339,96,18,APK-keuring begeleiding,5.2,35.0,0.21,182.0,38.22
340,96,27,Steiger huur (dag),13.3,85.0,0.21,1130.5,237.41
341,96,10,Dakgoot behandeling,5.6,12.0,0.21,67.2,14.11
342,97,26,Kitten en afdichtmiddel (stuk),6.8,9.0,0.21,61.2,12.85
343,97,26,Kitten en afdichtmiddel (stuk),2.1,9.0,0.21,18.9,3.97
344,97,24,Afplakfolie (m²),1.6,2.5,0.21,4.0,0.84
345,97,6,Stucwerk,11.1,35.0,0.21,388.5,81.58
346,97,13,Kleuradvies,9.8,65.0,0.21,637.0,133.77
347,97,24,Afplakfolie (m²),16.6,2.5,0.21,41.5,8.71
348,98,30,Omzetbelasting correctie,15.0,0.0,0.09,0.0,0.0
349,98,30,Omzetbelasting correctie,3.7,0.0,0.09,0.0,0.0
350,99,21,Materiaal grondverf (liter),19.4,6.0,0.21,116.4,24.44
351,99,1,Advies en consultancy,5.6,95.0,0.21,532.0,111.72
352,99,30,Omzetbelasting correctie,1.5,0.0,0.09,0.0,0.0
353,99,14,Snoeien en onderhoud,3.6,60.0,0.21,216.0,45.36
354,99,18,APK-keuring begeleiding,19.9,35.0,0.21,696.5,146.26
355,99,4,Uitvoering schilderwerk binnen,7.7,14.0,0.21,107.8,22.64
356,100,10,Dakgoot behandeling,5.0,12.0,0.21,-60.0,-12.6
357,101,22,Schuurpapier (set),13.8,12.0,0.21,165.6,34.78
358,101,8,Schuurwerk en voorbereiding,16.7,55.0,0.21,918.5,192.88
359,101,25,Houtbeschermingsproduct (liter),10.3,14.0,0.21,144.2,30.28
360,101,28,Hoogwerker huur (dag),16.8,180.0,0.21,3024.0,635.04
361,101,11,Grondverf aanbrengen,4.6,6.5,0.21,29.9,6.28
362,101,26,Kitten en afdichtmiddel (stuk),14.7,9.0,0.21,132.3,27.78
363,102,28,Hoogwerker huur (dag),4.2,180.0,0.21,756.0,158.76
364,102,12,Lakken kozijnen,4.5,45.0,0.21,202.5,42.52
365,102,15,Tuinaanleg,16.5,25.0,0.21,412.5,86.62
366,103,8,Schuurwerk en voorbereiding,11.0,55.0,0.21,605.0,127.05
367,103,18,APK-keuring begeleiding,14.6,35.0,0.21,511.0,107.31
368,103,12,Lakken kozijnen,7.6,45.0,0.21,342.0,71.82
369,103,11,Grondverf aanbrengen,19.1,6.5,0.21,124.15,26.07
370,104,22,Schuurpapier (set),18.1,12.0,0.21,217.2,45.61
371,104,10,Dakgoot behandeling,7.5,12.0,0.21,90.0,18.9
372,104,12,Lakken kozijnen,6.9,45.0,0.21,310.5,65.2
373,104,22,Schuurpapier (set),5.2,12.0,0.21,62.4,13.1
