project_id,naam,klant_id,status,startdatum,einddatum,geoffreerd_bedrag,omschrijving
31,Project Evolve Mission-Critical Communities,41,Afgerond,2023-03-20,2023-04-21,21081.71,Netjes plat feit plus film schaap vergelijking examen verder vloer.
32,Project Extend User-Centric Experiences,74,Lopend,2025-06-12,2025-11-19,34456.14,Stoffig dienen lunch huilen blauw.
33,Project Streamline Virtual Portals,67,Afgerond,2024-01-25,2024-04-04,2031.34,Best vechten vullen krant lomp koud hoed koers bruiloft aardappel.
34,Project Drive Innovative Applications,26,Afgerond,2026-01-07,2026-07-06,25320.33,Schudden beter welke boven titel.
35,Project Monetize E-Business Technologies,43,Afgerond,2025-01-15,2025-05-10,2914.1,Kleren veel angst dik fruit stoffig trui verrassen hand.
36,Project Whiteboard B2B Content,39,Afgerond,2024-10-04,2025-03-27,29756.53,Zak activiteit vlag dan bal ontvangen kom noot.
37,Project Evolve Extensible E-Tailers,38,Afgerond,2025-11-04,2026-01-27,23507.81,Fel vrij verschil dansen echt piano geur broek.
38,Project Repurpose Scalable Schemas,23,Afgerond,2023-09-18,2023-11-11,15005.4,Probleem bevatten rijst geschikt elektrisch oorlog wonder kaart rijst.
39,Project Incentivize Mission-Critical Technologie,37,Offerte,2024-09-08,2024-12-25,19403.83,Beslissen eigen meneer horen reeds schip dichtbij ongeluk vaak zand draad.
40,Project Harness Interactive E-Services,42,Afgerond,2024-03-06,2024-06-29,27608.68,Grijs kamer roze huilen meel lijk televisie mengsel brandstof.
41,Project Visualize Strategic Niches,61,Lopend,2025-08-10,2025-12-06,15754.51,Voorzichtig eis start plat sport voorzien.
42,Project Iterate Proactive Applications,80,Afgerond,2023-12-14,2024-06-04,3425.45,Kraam oranje vrijheid nummer nog zwembad mand tellen kasteel gebeurtenis.
43,Project Revolutionize Distributed Channels,40,Afgerond,2024-11-17,2024-12-15,28735.61,Missen blijven kap actief gelijk zeker zoeken sap suiker.
44,Project Enable Customized Communities,61,Offerte,2024-04-05,2024-05-30,5583.71,Ongeluk oneven vinger deel stap wijn.
45,Project Integrate Magnetic Models,25,Afgerond,2023-05-30,2023-09-28,14798.21,Belofte keuken bang extreem vroeg kant makkelijk.
46,Project Target Revolutionary Paradigms,1,Lopend,2025-02-25,2025-07-06,14288.02,Bos zeven populair grappig steun oom ontdekken klaar.
47,Project Synergize Bricks-And-Clicks Applications,67,Afgerond,2023-08-07,2023-11-28,8050.02,Munt klaar vroeg munt jong.
48,Project Cultivate Cross-Media Models,16,Afgerond,2025-08-09,2025-08-26,19730.5,Volgorde aarde voet lezen gebruiken moorden groep derde ding.
49,Project Expedite 24/7 Web Services,72,Afgerond,2025-07-23,2025-08-31,28148.87,Laat houden broer rond meel oranje publiek.
50,Project Deploy Vertical Action-Items,65,Afgerond,2024-10-11,2025-02-06,21636.51,Cadeau oud controle mooi voorkomen.
51,Project Orchestrate Leading-Edge Communities,61,Lopend,2025-05-23,2025-10-15,15884.02,Wat munt kraam ziek praten vloer sport.
52,Project Transition Front-End Infrastructures,36,Afgerond,2025-07-10,2025-09-19,26436.3,Lip zuid vies dragen verdrietig paard.
53,Project Generate Viral E-Business,10,Afgerond,2025-12-03,2026-04-11,22122.82,Glad speciaal ijs lopen oranje gebruiken kloppen brandstof erg vertrouwen.
54,Project Deliver Next-Generation Eyeballs,70,Afgerond,2024-08-08,2024-10-12,9874.17,Boete markeren periode baby thuis model bruikbaar meest comfortabel pan.
55,Project Transition Clicks-And-Mortar Methodologi,20,Afgerond,2023-06-15,2023-07-25,5703.66,Naast keus bank negen gebruiken uitleggen toename kleren opnemen.
56,Project Extend Mission-Critical E-Commerce,60,Afgerond,2024-03-14,2024-04-04,14812.94,Gevaarlijk tas vullen bijzonder overvallen nog.
57,Project Morph Dynamic Synergies,75,Afgerond,2025-05-01,2025-05-21,7635.79,Ook bruikbaar aardig recht.
58,Project Scale Turn-Key E-Markets,46,Offerte,2023-02-10,2023-07-12,13623.15,Boven leeftijd opeens gezond niets onderzoek peper zout.
59,Project Strategize Best-Of-Breed E-Markets,54,Geannuleerd,2024-09-03,2024-12-16,29943.95,Thuis meest keus ochtend gevaar hen ik sinds steen verstand.
60,Project Repurpose 24/7 E-Services,63,Afgerond,2026-01-07,2026-05-31,28095.45,Thuis wolf boos mogelijk titel u periode sap beetje.
61,Project Synergize Clicks-And-Mortar Infrastructu,44,Offerte,2024-03-25,2024-06-07,15536.34,Man paard blazen gisteren keus passeren.
62,Project Drive Integrated Interfaces,80,Afgerond,2025-04-08,2025-05-25,29497.45,Rechts haan zeil beide telefoon dromen mij actief vers wens na.
63,Project Aggregate Robust Metrics,4,Afgerond,2025-12-29,2026-01-09,31789.05,Morgen gedragen draaien avond geloof aan ding zwaar terwijl jongen.
64,Project Strategize Wireless Applications,24,Afgerond,2023-06-21,2023-12-07,15287.14,Muziek stelen bescherm blijven grootmoeder verdienen.
65,Project Redefine Cross-Media Convergence,42,Lopend,2023-04-13,2023-06-23,13579.08,Geboren zeil los kosten aap dromen moeilijk.
66,Project Engage Intuitive Mindshare,54,Geannuleerd,2024-11-22,2025-03-04,10099.85,Iedereen bruikbaar moord gevolg nieuw trein geschikt.
67,Project Grow Enterprise Networks,7,Afgerond,2024-05-31,2024-06-25,16725.59,Teen suiker zeer luisteren maag open ander brug beroep.
68,Project Whiteboard Magnetic Methodologies,6,Afgerond,2024-12-17,2025-02-17,22929.97,U kunst jongen niet schudden gisteren haar.
69,Project Strategize Cross-Platform Partnerships,20,Offerte,2023-03-05,2023-05-12,7377.94,Wereld markt jongen vorm goedkoop wissen samen vrouw minder en.
70,Project Extend Web-Enabled Portals,28,Lopend,2024-05-03,2024-06-09,16837.86,Gebruiken vergelijken vergeten kaars terugkomst bruin.
71,Project Evolve Rich E-Business,78,Lopend,2025-08-10,2025-10-19,26957.98,Tante nodig bang meest.
72,Project Re-Intermediate Turn-Key Models,4,Lopend,2023-08-23,2023-10-08,33782.87,Vijand meubel zon wakker groep gebeuren ooit begrijpen tweede medicijn.
73,Project Incubate Robust Mindshare,51,Geannuleerd,2024-09-30,2025-03-01,23868.48,Koken schaar drogen zingen schreeuwen maag scherp activiteit.
74,Project Architect Enterprise Applications,32,Afgerond,2024-02-11,2024-03-06,20927.38,Hoog per gewoon normaal geliefde.
75,Project Syndicate Cross-Platform Relationships,16,Afgerond,2023-07-28,2023-10-18,29835.12,Minder feit schudden kijken verstand groente.
76,Project Reinvent End-To-End Networks,9,Afgerond,2023-03-26,2023-06-27,18879.71,Van sok uitvinden oefening versturen eis u.
77,Project Extend B2C Info-Mediaries,63,Afgerond,2025-11-02,2026-04-21,12272.48,Droog minuut zus verrassen.
78,Project Mesh Turn-Key Models,59,Afgerond,2023-08-05,2023-11-28,33647.17,Geschikt vertrekken bedreiging boon dood fles gevaarlijk.
79,Project E-Enable Mission-Critical Systems,35,Afgerond,2023-11-10,2024-03-05,6576.73,Gewoon kans offer vak ik kunnen jij roze.
80,Project Expedite 24/365 Networks,76,Afgerond,2026-01-07,2026-05-15,16538.15,Raak nieuws zo grootmoeder hoog moment televisie lijken bieden perfect.
81,Project Target B2B Communities,12,Afgerond,2024-07-03,2024-09-28,29884.1,Land per koud vroeg bij ijzer hij rapport.
82,Project Unleash Real-Time Metrics,79,Afgerond,2024-07-25,2024-11-22,8913.29,Graf liggen verzamelen kap open zelfde laag echt.
83,Project Utilize End-To-End Action-Items,24,Afgerond,2025-02-15,2025-05-17,1490.15,Wijs schudden bijna doos bos beneden vloer.
84,Project Engage Scalable Web-Readiness,36,Afgerond,2025-09-25,2025-11-23,12741.46,Nacht zwaar bos pistool binnen wereld koers gebruiken.
85,Project Extend Front-End Systems,11,Afgerond,2024-07-19,2024-12-13,850.21,Buurvrouw natuurlijk dragen auto kaars wachten vet machine vijver west normaal.
86,Project Enable Virtual Applications,61,Afgerond,2024-05-09,2024-08-26,17355.94,Lucht stop vliegtuig lepel prijs netjes vroeger meerdere gebruik blij.
87,Project Monetize Bricks-And-Clicks E-Markets,29,Lopend,2025-10-02,2026-01-29,27856.18,Dier actief nacht taal correct haan niet.
88,Project Scale Holistic Info-Mediaries,61,Afgerond,2025-04-08,2025-06-14,11064.11,Achter leger hallo gedragen aardig kind kunnen.
89,Project Engage User-Centric Interfaces,43,Afgerond,2025-12-23,2026-03-26,15179.88,Dood stem koers klasse gif lang geloof.
90,Project Engineer Real-Time Technologies,16,Afgerond,2024-12-21,2025-04-21,9846.62,Vaarwel kunst verspreiden duwen hal potlood pijn grap plafond eenheid.
91,Project Utilize B2C Markets,24,Afgerond,2024-01-30,2024-04-24,4624.64,Alleen zien grond buurman leven acht blijven afgelopen fout lamp.
92,Project Generate Rich Relationships,76,Afgerond,2024-01-28,2024-03-28,25981.86,Schouder antwoord bijna straat deel glimlach kok nog duur.
93,Project Productize Dot-Com Architectures,25,Lopend,2025-12-10,2026-05-16,10263.46,Buiten team gerecht teken.
94,Project Grow Interactive Paradigms,69,Afgerond,2024-08-29,2024-10-31,12950.4,Maag tegen naar zoet mand ruiken.
95,Project Monetize World-Class Communities,38,Lopend,2023-09-17,2023-12-01,2070.29,Spreken stoel nu bureau meerdere hebben kans beetje rest zij geit.
96,Project Brand World-Class Synergies,2,Afgerond,2023-09-16,2024-03-02,30461.91,Trekken opa komen gemakkelijk zeven oorzaak.
97,Project Scale Collaborative Metrics,7,Afgerond,2024-08-05,2024-12-08,17015.64,Kiezen blij ding bloed pistool wens.
98,Project Engineer Leading-Edge Markets,63,Lopend,2024-06-01,2024-10-06,4436.01,Probleem seconde traan buurman geel zoeken toen succes.
99,Project Exploit Visionary Solutions,20,Lopend,2023-06-01,2023-10-31,22215.88,Scherp kaas controle vragen.
100,Project Synthesize Visionary Schemas,54,Lopend,2024-09-14,2024-10-10,34790.18,Noemen meubel ongeluk nog honger maken vies.
101,Project Expedite Granular Partnerships,39,Afgerond,2024-04-07,2024-08-23,13623.04,Dier hard gisteren kennen aan presenteren kleden één afspraak versturen.
102,Project Revolutionize Web-Enabled Vortals,13,Lopend,2025-05-28,2025-08-19,20117.72,Redden nieuws knie nat min.
103,Project Engage B2C E-Business,21,Afgerond,2024-03-01,2024-08-13,7780.37,Honderd prins breken nacht beroemd vergelijking cirkel.
104,Project Cultivate Robust Solutions,53,Lopend,2024-05-06,2024-06-24,19543.73,Meneer boon ontmoeten vergeten rechtvaardig.
105,Project Mesh Dot-Com Markets,37,Offerte,2025-07-11,2025-12-15,16711.98,Gaan snelheid af wassen rechtdoor welke verf maken.
106,Project Whiteboard Leading-Edge Relationships,34,Lopend,2024-08-02,2024-12-01,2955.7,Stilte voorkomen veel trekken beker piano negen station vergelijken bibliotheek.
107,Project Architect Mission-Critical Platforms,20,Lopend,2024-02-10,2024-06-02,4459.78,Nemen eerste natuurlijk gerecht plastic dubbel storm.
108,Project Deploy Sticky Functionalities,40,Lopend,2024-06-28,2024-08-08,2963.64,Kaart luisteren repareren voet doos dus kort idee dit zwembad.
109,Project Grow Synergistic Vortals,52,Afgerond,2024-08-14,2024-12-09,4790.2,Zout hoofd kiezen tante leger spel pas onderwerp film tas.
110,Project Re-Contextualize Dot-Com Relationships,77,Afgerond,2024-07-11,2024-11-21,19129.36,Liniaal koningin spelen zoet overal muziek zulke helder heet.
111,Project Enhance Killer Vortals,4,Afgerond,2023-03-23,2023-07-16,25841.42,Teken wind veel wapen.
112,Project Deliver B2C Platforms,74,Afgerond,2023-07-07,2023-09-08,33685.93,Maag dik glad voorbeeld gereedschap.
113,Project Morph Seamless Infrastructures,23,Afgerond,2023-02-12,2023-08-08,28839.03,Kop wanneer station sorry tram drijven ver scherp ooit vroeg.
114,Project Expedite Seamless Paradigms,24,Afgerond,2025-08-21,2026-01-05,22977.08,Kleren test wassen huren voeden lepel wens bui tegen stom.
115,Project Iterate Value-Added Functionalities,61,Geannuleerd,2025-06-11,2025-11-25,28591.45,Kleur hem bal nobel delen mits gaan beer stad kok lijk.
116,Project Expedite E-Business E-Services,21,Afgerond,2024-12-13,2025-04-01,11999.14,Hal kom computer bijvoorbeeld ontmoeten been kop binnenkort missen.
117,Project Revolutionize End-To-End Channels,52,Afgerond,2024-11-06,2025-02-24,24431.74,Olifant mensen raken eis persoon steen genoeg betalen tennis.
118,Project Harness E-Business Initiatives,42,Afgerond,2026-01-31,2026-02-14,16191.49,Langs jaar hoewel ouder als hem zoon piano.
119,Project Exploit Visionary E-Business,1,Afgerond,2023-08-26,2023-12-12,30339.42,Lichaam we geen schaap dier spreken.
120,Project Evolve One-To-One Markets,47,Lopend,2026-01-16,2026-05-19,14757.04,Wit weer vijand vast af schip brengen.
121,Project Grow Collaborative Web-Readiness,35,Lopend,2025-10-17,2026-03-31,15750.41,Feest nieuws eten nacht gewicht meisje springen dan.
122,Project Scale Vertical Architectures,63,Afgerond,2026-01-29,2026-03-08,32504.71,Vrijheid natuurlijk gevangenis belangrijk enkele schouder graf maand winnen beroemd.
123,Project Repurpose Real-Time Web Services,31,Afgerond,2023-09-06,2023-09-18,34073.57,Vet afval vies raak gedragen klein zingen boord.
124,Project Harness Holistic Metrics,12,Afgerond,2023-11-21,2024-02-13,19503.95,Blazen elk zes om sluiten baby wat hem met stoel.
125,Project Utilize Cross-Media Methodologies,20,Lopend,2024-04-05,2024-05-09,16419.95,Jullie helft zus zitten grens belofte gevolg knie.
126,Project Transition Proactive Schemas,62,Afgerond,2025-10-17,2026-01-04,18056.08,Geboorte iets kok daar springen naam rook.
127,Project Cultivate Bleeding-Edge E-Markets,25,Lopend,2025-08-25,2025-10-31,16259.13,Ontvangen leeftijd hier papier lip compleet raken.
128,Project Benchmark 24/365 Channels,54,Afgerond,2025-11-06,2025-12-15,30308.93,Scheiden vragen vrouw leger vrouw tegen rechts.
129,Project Maximize Granular Vortals,39,Offerte,2024-11-27,2025-04-10,9717.46,Offer wit bruiloft hoek voeden.
130,Project Drive Proactive Vortals,43,Afgerond,2025-09-29,2025-11-11,15905.89,Zeer help stof vechten potlood stempel deze eenheid.
131,Project Enable Viral Web-Readiness,25,Afgerond,2026-01-17,2026-04-28,16209.39,Piano papier per overeenkomen gedrag altijd bij terwijl controle verliezen maken.
132,Project Visualize Out-Of-The-Box Roi,53,Afgerond,2024-05-04,2024-10-02,13712.49,Mevrouw daar eigen antwoorden tante afhangen goedkoop laag.
133,Project Extend 24/365 E-Tailers,49,Afgerond,2023-03-31,2023-06-25,26192.33,Druk wreed lezen pijn schaduw.
134,Project Cultivate Ubiquitous Action-Items,20,Afgerond,2025-03-01,2025-08-22,27837.58,Koud bal steen klein hier peper stil ouder natuur.
135,Project Matrix Robust Deliverables,43,Geannuleerd,2025-10-11,2025-10-25,4855.5,Lomp verandering bang zus na.
136,Project Strategize Revolutionary Schemas,2,Afgerond,2023-07-25,2023-11-19,3940.05,Munt poes been half koorts hem verandering maal.
137,Project Brand Distributed E-Business,10,Geannuleerd,2023-10-23,2024-02-09,30547.19,Scherp vriendelijk maan provincie blijven.
138,Project Deliver One-To-One Roi,11,Afgerond,2025-08-19,2025-10-30,12180.36,Wiel schouder cool laag list dubbel oranje sluiten enthousiast los.
139,Project Morph World-Class Experiences,41,Afgerond,2024-11-03,2025-04-29,30147.31,Snijden buren broek lip kantoor nacht.
140,Project Synergize Granular Architectures,37,Lopend,2025-09-26,2026-02-16,1738.52,Klein team waar oneven reeds derde vijand dubbel sluiten laken.
141,Project Monetize Customized Technologies,13,Lopend,2024-04-10,2024-05-08,15472.02,Dus vragen zeep aanval tas ademen min minder vaak partner midden.
142,Project Architect Collaborative Bandwidth,6,Afgerond,2025-06-27,2025-08-13,24443.04,Licht pad aarde voet groen plein vast falen.
143,Project Reinvent B2B Markets,19,Afgerond,2024-10-26,2024-11-14,10621.19,Avond verspreiden rest vergissen hebben warm been lach.
144,Project Reinvent Granular Methodologies,24,Afgerond,2024-05-15,2024-10-02,14715.79,Peper schieten over toekomst druk lot oom.
145,Project Re-Contextualize Robust Infrastructures,80,Afgerond,2023-12-15,2024-02-02,3224.41,Honderd vraag vast taal verkopen benzine mama.
146,Project Embrace Efficient Supply-Chains,60,Lopend,2024-05-08,2024-09-17,31992.6,Laag feest feest beker ontmoeten zo neer blauw speciaal papa.
147,Project Generate Front-End E-Commerce,60,Offerte,2024-06-04,2024-10-04,9308.77,Vernietigen gewoon oog plank weg periode miljoen springen min vaak.
148,Project Matrix Bleeding-Edge Technologies,45,Lopend,2024-08-12,2025-02-06,19357.64,Aanbod alles plastic bruikbaar veroveren tweede.
149,Project Deploy Transparent Paradigms,59,Afgerond,2024-09-04,2025-02-19,33690.0,Jagen uur fijn prins schetsen gevaarlijk beroep heet.
150,Project Engage World-Class Synergies,14,Afgerond,2024-09-10,2024-11-04,34978.39,Schaap iets speciaal persoon anders.
