factuur_id,factuurnummer,klant_id,project_id,datum,vervaldatum,bedrag_excl_btw,bedrag_btw,bedrag_incl_btw,status,is_creditfactuur
113,F2024-00113,34,52,2024-02-02,2024-03-18,5221.5,1096.51,6318.01,Betaald,0
114,F2024-00114,14,150,2024-10-18,2024-12-17,-225.6,-47.38,-272.98,Gecrediteerd,1
115,F2023-00115,78,,2023-09-17,2023-11-16,521.8,109.57,631.37,Betaald,0
116,F2023-00116,11,40,2023-04-20,2023-06-04,639.7,134.33,774.03,Achterstallig,0
117,F2025-00117,42,124,2025-06-25,2025-07-09,21.0,4.41,25.41,Betaald,0
118,F2023-00118,63,21,2023-01-03,2023-01-17,997.6,209.5,1207.1,Achterstallig,0
119,F2023-00119,1,134,2023-09-26,2023-11-10,378.45,79.47,457.92,Betaald,0
120,F2023-00120,8,116,2023-12-15,2023-12-29,1721.6,361.54,2083.14,Betaald,0
121,F2023-00121,39,62,2023-05-21,2023-07-20,1541.0,323.61,1864.61,Betaald,0
122,F2024-00122,13,26,2024-05-14,2024-06-28,1309.0,274.87,1583.87,Betaald,0
123,F2025-00123,50,,2025-12-07,2026-01-06,1946.7,408.8,2355.5,Achterstallig,0
124,F2024-00124,62,120,2024-05-17,2024-07-16,2672.5,561.22,3233.72,Betaald,0
125,F2025-00125,2,144,2025-07-24,2025-08-07,3610.1,758.12,4368.22,Betaald,0
126,F2023-00126,59,29,2023-01-14,2023-02-13,344.4,72.33,416.73,Betaald,0
127,F2023-00127,50,128,2023-08-24,2023-09-23,511.5,107.41,618.91,Betaald,0
128,F2025-00128,65,,2025-04-30,2025-05-14,550.9,115.68,666.58,Betaald,0
129,F2024-00129,70,127,2024-03-24,2024-05-23,671.0,140.91,811.91,Betaald,0
130,F2023-00130,22,74,2023-10-14,2023-11-13,4591.7,964.25,5555.95,Betaald,0
131,F2023-00131,54,27,2023-07-18,2023-08-01,1688.5,354.58,2043.08,Betaald,0
132,F2025-00132,34,81,2025-09-08,2025-10-23,-4520.0,-949.19,-5469.19,Gecrediteerd,1
133,F2026-00133,71,8,2026-02-18,2026-04-19,363.8,76.4,440.2,Betaald,0
134,F2024-00134,74,30,2024-01-06,2024-01-20,1104.9,232.03,1336.93,Betaald,0
135,F2026-00135,11,41,2026-01-17,2026-03-03,353.0,74.13,427.13,Betaald,0
136,F2024-00136,62,134,2024-11-16,2025-01-15,2459.95,516.58,2976.53,Betaald,0
137,F2025-00137,70,,2025-04-18,2025-06-17,2282.8,479.39,2762.19,Achterstallig,0
138,F2025-00138,2,81,2025-06-05,2025-06-19,1844.8,387.41,2232.21,Betaald,0
139,F2025-00139,23,106,2025-04-28,2025-05-12,1012.0,212.52,1224.52,Betaald,0
140,F2026-00140,76,136,2026-04-04,2026-05-19,102.8,21.59,124.39,Openstaand,0
141,F2023-00141,64,49,2023-06-07,2023-07-07,1484.0,311.64,1795.64,Betaald,0
142,F2023-00142,5,15,2023-04-03,2023-04-17,618.3,129.84,748.14,Achterstallig,0
143,F2024-00143,67,108,2024-11-12,2024-12-27,889.8,186.86,1076.66,Betaald,0
144,F2024-00144,36,83,2024-03-22,2024-05-21,270.15,56.73,326.88,Betaald,0
145,F2025-00145,33,,2025-10-07,2025-11-06,1224.0,257.04,1481.04,Betaald,0
146,F2023-00146,5,147,2023-09-06,2023-09-20,489.45,102.78,592.23,Achterstallig,0
147,F2024-00147,7,,2024-05-11,2024-06-25,-1660.9,-348.79,-2009.69,Gecrediteerd,1
148,F2024-00148,55,,2024-09-18,2024-10-02,2037.2,427.8,2465.0,Betaald,0
149,F2023-00149,43,18,2023-07-10,2023-07-24,1635.5,343.45,1978.95,Betaald,0
150,F2023-00150,18,76,2023-09-05,2023-10-20,333.0,69.93,402.93,Betaald,0
151,F2024-00151,22,59,2024-07-07,2024-08-06,828.0,173.88,1001.88,Betaald,0
152,F2024-00152,41,140,2024-09-23,2024-11-07,96.0,20.16,116.16,Betaald,0
153,F2024-00153,71,,2024-07-08,2024-09-06,497.0,104.37,601.37,Betaald,0
154,F2024-00154,77,24,2024-09-22,2024-10-06,180.0,37.8,217.8,Betaald,0
155,F2024-00155,54,,2024-07-15,2024-07-29,-756.1,-158.78,-914.88,Gecrediteerd,1
156,F2024-00156,9,35,2024-01-30,2024-02-29,888.85,186.66,1075.51,Achterstallig,0
157,F2025-00157,23,19,2025-02-28,2025-03-14,28.8,6.05,34.85,Achterstallig,0
158,F2024-00158,79,45,2024-07-01,2024-08-15,115.2,24.19,139.39,Betaald,0
159,F2026-00159,56,,2026-04-09,2026-05-09,2190.45,459.99,2650.44,Openstaand,0
160,F2024-00160,70,60,2024-01-28,2024-03-28,254.4,53.43,307.83,Betaald,0
161,F2024-00161,25,77,2024-07-07,2024-08-21,3678.5,772.47,4450.97,Betaald,0
162,F2025-00162,56,64,2025-01-11,2025-02-10,2154.15,452.38,2606.53,Betaald,0
163,F2025-00163,67,,2025-02-03,2025-03-20,2774.1,582.56,3356.66,Betaald,0
164,F2023-00164,42,85,2023-07-16,2023-07-30,77.6,16.3,93.9,Betaald,0
165,F2023-00165,1,,2023-03-19,2023-05-03,3718.8,780.95,4499.75,Achterstallig,0
166,F2025-00166,79,112,2025-04-03,2025-05-18,493.5,103.64,597.14,Betaald,0
167,F2026-00167,56,,2026-04-11,2026-05-11,1613.25,338.79,1952.04,Betaald,0
168,F2025-00168,62,1,2025-01-04,2025-03-05,5789.25,1215.73,7004.98,Betaald,0
169,F2025-00169,48,72,2025-06-09,2025-07-09,828.6,174.0,1002.6,Betaald,0
170,F2024-00170,44,,2024-09-28,2024-11-12,3809.8,800.05,4609.85,Betaald,0
171,F2023-00171,43,62,2023-04-25,2023-05-09,6429.4,1350.17,7779.57,Betaald,0
172,F2024-00172,67,,2024-08-11,2024-09-25,4027.5,845.78,4873.28,Betaald,0
173,F2023-00173,11,86,2023-10-17,2023-12-01,113.4,23.81,137.21,Betaald,0
174,F2023-00174,48,,2023-10-29,2023-11-28,3183.0,668.42,3851.42,Betaald,0
175,F2024-00175,28,67,2024-06-03,2024-07-18,3141.6,659.74,3801.34,Betaald,0
176,F2025-00176,29,123,2025-01-29,2025-02-28,5780.5,1213.89,6994.39,Betaald,0
177,F2024-00177,50,81,2024-05-16,2024-06-15,6513.9,1367.92,7881.82,Betaald,0
178,F2025-00178,37,91,2025-10-25,2025-12-24,432.2,90.76,522.96,Betaald,0
179,F2025-00179,61,73,2025-03-08,2025-04-22,140.8,29.57,170.37,Betaald,0
180,F2024-00180,60,90,2024-12-27,2025-02-25,131.85,27.68,159.53,Betaald,0
181,F2026-00181,8,12,2026-04-19,2026-05-03,3752.0,787.91,4539.91,Openstaand,0
182,F2024-00182,44,,2024-05-15,2024-06-29,981.5,206.11,1187.61,Betaald,0
183,F2023-00183,56,,2023-03-07,2023-04-06,4084.55,857.74,4942.29,Betaald,0
184,F2023-00184,10,,2023-06-11,2023-07-26,2197.35,461.44,2658.79,Betaald,0
185,F2025-00185,52,121,2025-05-23,2025-06-06,3294.8,691.91,3986.71,Betaald,0
186,F2025-00186,53,,2025-03-29,2025-05-13,1047.85,220.05,1267.9,Betaald,0
187,F2023-00187,48,71,2023-02-04,2023-03-06,2021.7,424.55,2446.25,Betaald,0
188,F2025-00188,80,,2025-12-31,2026-03-01,16.0,3.36,19.36,Betaald,0
189,F2025-00189,50,116,2025-02-09,2025-03-11,1092.0,229.32,1321.32,Betaald,0
190,F2024-00190,22,,2024-06-18,2024-07-18,488.0,102.48,590.48,Betaald,0
191,F2025-00191,65,,2025-09-11,2025-09-25,644.0,135.24,779.24,Betaald,0
192,F2025-00192,40,24,2025-10-14,2025-12-13,1656.0,347.76,2003.76,Betaald,0
193,F2024-00193,48,,2024-02-05,2024-03-06,1743.0,366.02,2109.02,Betaald,0
194,F2025-00194,16,15,2025-09-28,2025-11-12,5368.75,1127.43,6496.18,Betaald,0
195,F2024-00195,59,138,2024-12-07,2025-01-06,883.5,185.53,1069.03,Betaald,0
196,F2023-00196,71,,2023-03-26,2023-05-25,2237.25,469.81,2707.06,Betaald,0
197,F2025-00197,74,14,2025-08-06,2025-08-20,1690.15,354.92,2045.07,Betaald,0
198,F2024-00198,26,,2024-05-25,2024-06-24,1868.8,392.45,2261.25,Betaald,0
199,F2025-00199,2,26,2025-07-10,2025-07-24,170.0,35.7,205.7,Betaald,0
200,F2024-00200,71,117,2024-09-12,2024-11-11,2133.45,448.02,2581.47,Betaald,0
201,F2023-00201,76,,2023-07-21,2023-09-04,1031.1,216.52,1247.62,Betaald,0
202,F2023-00202,49,,2023-07-11,2023-08-25,-1182.25,-248.27,-1430.52,Gecrediteerd,1
203,F2023-00203,17,128,2023-11-08,2023-11-22,1567.5,329.18,1896.68,Betaald,0
204,F2025-00204,4,147,2025-12-19,2026-01-02,1364.4,286.52,1650.92,Betaald,0
205,F2023-00205,59,8,2023-04-11,2023-05-11,81.6,17.14,98.74,Achterstallig,0
206,F2026-00206,35,33,2026-02-18,2026-04-19,788.6,165.6,954.2,Betaald,0
207,F2024-00207,6,6,2024-11-09,2025-01-08,537.2,112.82,650.02,Betaald,0
208,F2024-00208,46,103,2024-09-07,2024-10-07,2299.45,482.87,2782.32,Achterstallig,0
209,F2024-00209,34,,2024-02-23,2024-04-08,1674.0,351.54,2025.54,Betaald,0
210,F2025-00210,57,61,2025-02-19,2025-03-21,630.0,132.3,762.3,Achterstallig,0
211,F2023-00211,54,6,2023-09-20,2023-10-04,226.8,47.63,274.43,Betaald,0
212,F2024-00212,2,115,2024-07-26,2024-08-09,168.0,35.28,203.28,Betaald,0
213,F2024-00213,27,66,2024-11-05,2024-11-19,2031.6,426.63,2458.23,Betaald,0
214,F2026-00214,59,,2026-02-27,2026-03-29,305.3,64.11,369.41,Betaald,0
215,F2024-00215,61,,2024-03-16,2024-04-30,235.8,49.52,285.32,Betaald,0
216,F2025-00216,52,85,2025-12-18,2026-01-01,2249.2,472.32,2721.52,Betaald,0
217,F2026-00217,22,,2026-01-03,2026-02-02,612.0,128.52,740.52,Betaald,0
218,F2025-00218,56,77,2025-11-10,2025-12-10,1586.1,333.08,1919.18,Achterstallig,0
219,F2026-00219,36,86,2026-03-22,2026-05-21,128.7,27.03,155.73,Betaald,0
220,F2023-00220,43,126,2023-11-21,2023-12-05,555.5,116.66,672.16,Betaald,0
221,F2025-00221,21,,2025-05-27,2025-07-11,1301.1,273.23,1574.33,Betaald,0
222,F2023-00222,40,110,2023-08-17,2023-10-16,0.0,0.0,0.0,Betaald,0
223,F2024-00223,27,,2024-12-19,2025-01-02,263.5,55.34,318.84,Betaald,0
224,F2026-00224,42,45,2026-03-24,2026-04-07,334.8,70.31,405.11,Betaald,0
225,F2025-00225,62,134,2025-02-20,2025-04-21,2544.5,534.35,3078.85,Betaald,0
226,F2024-00226,2,2,2024-02-22,2024-03-07,1462.0,307.02,1769.02,Betaald,0
227,F2025-00227,48,,2025-12-15,2026-01-14,1617.9,339.75,1957.65,Betaald,0
228,F2025-00228,79,104,2025-06-14,2025-07-29,4413.55,926.85,5340.4,Betaald,0
229,F2025-00229,45,40,2025-04-17,2025-06-01,6703.5,1407.73,8111.23,Betaald,0
230,F2023-00230,32,82,2023-02-10,2023-04-11,1299.9,272.97,1572.87,Betaald,0
231,F2026-00231,58,,2026-02-23,2026-04-24,1925.1,404.28,2329.38,Betaald,0
232,F2023-00232,48,71,2023-05-21,2023-06-20,391.55,82.22,473.77,Betaald,0
233,F2023-00233,70,63,2023-12-31,2024-02-29,963.0,202.23,1165.23,Achterstallig,0
234,F2023-00234,62,68,2023-02-08,2023-04-09,2224.65,467.16,2691.81,Betaald,0
235,F2026-00235,1,14,2026-04-07,2026-05-22,2478.8,520.55,2999.35,Openstaand,0
236,F2023-00236,16,86,2023-04-15,2023-05-30,1608.7,337.82,1946.52,Betaald,0
237,F2025-00237,46,103,2025-01-18,2025-02-17,211.7,44.46,256.16,Betaald,0
238,F2025-00238,43,81,2025-02-05,2025-02-19,1237.0,259.77,1496.77,Betaald,0
239,F2024-00239,75,125,2024-12-05,2024-12-19,392.8,82.49,475.29,Achterstallig,0
240,F2024-00240,68,50,2024-06-21,2024-08-05,516.5,108.47,624.97,Betaald,0
241,F2025-00241,33,,2025-03-31,2025-04-30,1342.8,281.99,1624.79,Betaald,0
242,F2026-00242,16,88,2026-02-12,2026-03-29,1740.0,365.4,2105.4,Betaald,0
243,F2023-00243,52,100,2023-03-17,2023-03-31,237.5,49.88,287.38,Betaald,0
244,F2025-00244,14,,2025-06-16,2025-08-15,1810.4,380.18,2190.58,Achterstallig,0
245,F2024-00245,41,40,2024-10-04,2024-11-18,40.5,8.5,49.0,Betaald,0
246,F2025-00246,75,91,2025-05-18,2025-06-01,521.9,109.6,631.5,Betaald,0
247,F2025-00247,77,33,2025-04-14,2025-04-28,518.4,108.86,627.26,Achterstallig,0
248,F2024-00248,30,,2024-12-08,2025-01-22,918.6,192.9,1111.5,Betaald,0
249,F2024-00249,29,,2024-10-04,2024-11-03,2874.1,603.57,3477.67,Achterstallig,0
250,F2023-00250,2,59,2023-04-16,2023-04-30,1183.6,248.55,1432.15,Betaald,0
251,F2024-00251,44,61,2024-01-07,2024-02-21,4722.5,991.73,5714.23,Betaald,0
252,F2023-00252,26,43,2023-12-07,2024-01-06,1058.4,222.26,1280.66,Betaald,0
253,F2024-00253,19,,2024-11-13,2024-12-13,1972.1,414.15,2386.25,Betaald,0
254,F2024-00254,41,134,2024-07-27,2024-09-10,141.3,29.67,170.97,Betaald,0
255,F2025-00255,28,5,2025-02-21,2025-04-07,1890.9,397.08,2287.98,Betaald,0
256,F2025-00256,36,35,2025-10-14,2025-12-13,1913.8,401.9,2315.7,Betaald,0
257,F2023-00257,35,114,2023-05-03,2023-07-02,249.5,52.4,301.9,Betaald,0
258,F2025-00258,38,147,2025-08-17,2025-08-31,816.0,171.36,987.36,Betaald,0
259,F2025-00259,31,96,2025-08-10,2025-10-09,360.0,75.6,435.6,Betaald,0
260,F2023-00260,24,140,2023-07-12,2023-08-11,3218.0,675.77,3893.77,Achterstallig,0
261,F2025-00261,21,103,2025-03-03,2025-04-17,137.5,28.87,166.37,Betaald,0
262,F2025-00262,3,146,2025-03-03,2025-03-17,955.5,200.66,1156.16,Betaald,0
263,F2024-00263,30,,2024-09-03,2024-10-18,347.4,72.95,420.35,Betaald,0
264,F2023-00264,71,147,2023-05-22,2023-07-21,637.5,133.88,771.38,Betaald,0
265,F2023-00265,60,86,2023-01-23,2023-03-24,338.0,70.98,408.98,Betaald,0
266,F2023-00266,52,147,2023-01-08,2023-01-22,1173.2,246.37,1419.57,Betaald,0
267,F2025-00267,30,22,2025-10-28,2025-12-12,474.0,99.54,573.54,Betaald,0
268,F2024-00268,62,147,2024-09-29,2024-11-28,345.9,72.63,418.53,Betaald,0
269,F2023-00269,7,49,2023-07-01,2023-08-15,474.5,99.64,574.14,Betaald,0
270,F2026-00270,62,,2026-03-05,2026-05-04,964.2,202.49,1166.69,Betaald,0
271,F2023-00271,25,15,2023-03-08,2023-04-22,719.8,151.15,870.95,Betaald,0
272,F2024-00272,76,144,2024-10-18,2024-12-02,1233.6,259.07,1492.67,Betaald,0
273,F2025-00273,2,117,2025-03-05,2025-03-19,1574.7,330.68,1905.38,Betaald,0
274,F2024-00274,64,1,2024-06-24,2024-07-24,1268.0,266.28,1534.28,Betaald,0
275,F2026-00275,15,6,2026-01-13,2026-01-27,1384.3,290.7,1675.0,Betaald,0
276,F2025-00276,39,28,2025-09-04,2025-11-03,764.0,160.44,924.44,Betaald,0
277,F2025-00277,58,108,2025-01-11,2025-03-12,1227.4,257.75,1485.15,Betaald,0
278,F2024-00278,65,,2024-11-22,2024-12-06,68.6,14.41,83.01,Betaald,0
279,F2025-00279,49,3,2025-12-18,2026-02-01,1074.1,225.57,1299.67,Betaald,0
280,F2025-00280,17,114,2025-04-19,2025-05-03,4687.85,984.45,5672.3,Achterstallig,0
281,F2023-00281,53,48,2023-10-23,2023-12-07,1183.5,248.53,1432.03,Betaald,0
282,F2023-00282,70,50,2023-12-10,2024-02-08,1697.9,356.55,2054.45,Achterstallig,0
283,F2026-00283,49,59,2026-03-05,2026-04-19,1179.25,247.64,1426.89,Betaald,0
284,F2025-00284,32,98,2025-09-14,2025-11-13,1208.0,253.68,1461.68,Betaald,0
285,F2023-00285,14,134,2023-08-27,2023-10-26,33.6,7.06,40.66,Betaald,0
286,F2023-00286,68,,2023-01-14,2023-02-28,1072.3,225.19,1297.49,Achterstallig,0
287,F2025-00287,71,102,2025-12-21,2026-02-19,52.8,11.09,63.89,Betaald,0
288,F2023-00288,22,124,2023-09-08,2023-10-08,4525.0,950.25,5475.25,Betaald,0
289,F2025-00289,52,,2025-04-29,2025-05-13,3923.5,823.93,4747.43,Betaald,0
290,F2024-00290,21,,2024-09-26,2024-11-10,1808.5,379.78,2188.28,Betaald,0
291,F2025-00291,15,47,2025-05-24,2025-06-07,-1081.25,-227.06,-1308.31,Gecrediteerd,1
